order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD012542,ID0781109163,2019-07-20,Bakers,"[('Thunder line', 1), ('Toshika 750', 2)]",6740,71.79,-37.8145258,145.0155108,10,9809.79,Winter,False,1.8533,five stars everything works to perfection!,True
ORD299508,ID0260907252,2019-05-26,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Thunder line', 1), ('pearTV', 2)]",16455,71.82,145.0094445,-37.8238164,25,12413.07,Autumn,False,1.9821,not bad ok this phone seems ok. i'm just not a smart phone kind of guy. i like the simple cell phones. i probably won't keep it to long. fact is i'd trade for a blackberry in a heartbeat!,True
ORD136268,ID5167159984,2019-09-26,Bakers,"[('Alcon 10', 2), ('iAssist Line', 2)]",2600,98.9,-37.8119045,145.0035363,5,21331.4,Spring,True,0.7606,cool but expensive it is a great fone..,True
ORD396615,ID4740822036,2019-01-11,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 1), ('pearTV', 2)]",14010,76.8,-37.80339220000001,144.9499865,0,15151.8,Summer,False,1.0645,five stars great phone! excellent package!!!!,True
ORD412492,ID0702374476,2019-02-08,Thompson,"[('iStream', 1), ('Toshika 750', 2)]",8790,74.33,-37.8065038,144.9411505,0,8864.33,Summer,False,0.8617,nice i don't see any problems with it.,False
ORD418280,ID6282174155,2019-04-11,Nickolson,"[('Olivia x460', 2), ('Thunder line', 2), ('Lucent 330S', 1)]",8040,77.3,-37.8229914,144.9762569,25,6107.3,Autumn,True,1.9037,awesome phone love this phone,True
ORD419503,ID0349920154,2019-09-21,Bakers,"[('Lucent 330S', 2), ('Toshika 750', 2)]",11100,102.43,-37.8179689,145.0038909,25,8427.43,Autumn,True,1.1694,great phone! good quality phone for the price! the battery mod add extra life.,True
ORD413461,ID0202690479,2019-12-19,Thompson,"[('Toshika 750', 2), ('iStream', 1)]",8790,112.43,-37.8044469,144.91663180000003,25,6704.93,Summer,True,2.8292,olivia phone i bought this phone for my mom she love it,True
ORD038061,ID0248969216,2019-05-25,Bakers,"[('Candle Inferno', 2), ('pearTV', 1), ('iStream', 1)]",8920,62.46,-37.803639200000006,144.9922661,15,7644.46,Autumn,True,0.7542,"worse graphics, won't keep a wireless connection,overall not satisfied",False
ORD189996,ID2288769460,2019-10-09,Bakers,"[('Olivia x460', 2), ('iAssist Line', 2), ('Toshika 750', 2), ('Candle Inferno', 2)]",16400,103.06,-37.8020363,145.00412240000003,5,15683.06,Spring,True,1.1817,buy it!! all i can say is i love this phone! if anything happened to it i would buy again. no complaints. buy it!! shipped well and securely boxed. fast delivery.,True
ORD445922,ID0664379338,2019-11-23,Nickolson,"[('iAssist Line', 2), ('Thunder line', 2), ('pearTV', 2), ('Alcon 10', 2)]",39330,74.93,-37.8203466,144.9657142,25,29572.43,Spring,False,0.3897,five stars this is awesome,True
ORD155192,ID4655086233,2019-01-22,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 1)]",9380,87.81,-37.8106759,144.94620690000005,10,8529.81,Summer,True,0.2349,"phone in excellent condition, no problems connecting to service delivered on time. phone in excellent condition, no problems connecting to service. no issues currently, very satisfied.",True
ORD074143,ID6167247310,2019-03-06,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 1), ('Thunder line', 1), ('Alcon 10', 1)]",16680,52.32,144.9602341,-37.8197005,15,14230.32,Autumn,False,0.8285,phone not working phone not working and digico refuse to sent me a new one. so i had to buy a new replacement,False
ORD409661,ID6167230988,2019-05-04,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Alcon 10', 1), ('Candle Inferno', 1)]",17510,80.46,-37.8190109,144.9543045,15,14963.96,Autumn,True,0.9469,the toshika xperia by far my favorite phone i've owned the toshika xperia by far my favorite phone i've owned. i have a z1 as well. i'm about to by another one.,True
ORD485599,ID3882855731,2019-07-20,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2)]",11090,61.45,-37.8197673,144.9484869,25,8378.95,Winter,True,0.7995,yellow lines major problem with the display they are some yellow lines on both side of the top of the display which i thought would go away but it's getting worst,False
ORD189297,ID6167489447,2019-02-03,Nickolson,"[('Toshika 750', 1), ('Thunder line', 2)]",8680,95.12,-37.8134507,144.960142,15,7473.12,Summer,True,1.0063,perfect budget phone i love everything about this phone. i recommend it to everyone!,True
ORD230648,ID0122744304,2019-07-06,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 1)]",11410,65.06,-37.8250279,144.9589745,5,10904.56,Winter,False,1.1738,huawei is great perfect,True
ORD276861,ID0777788328,2019-10-29,Thompson,"[('Toshika 750', 2), ('Alcon 10', 1), ('Candle Inferno', 1), ('Thunder line', 2)]",19820,100.78,-37.806898,144.95411130000005,25,16885.78,Spring,True,0.8927,satisfied it perfect no issues so far love love my note 9 a very pleased customer.,True
ORD164387,ID0289597227,03-01-2019,Thompson,"[('Olivia x460', 1), ('Alcon 10', 1), ('Lucent 330S', 2)]",12635,89.71,-37.8114334,144.95132130000005,15,10829.46,Summer,True,0.3986,good phone super fast charging. great display. the screen can easily be seen outdoors. fast snappy. love it quality build. lucent mods option but i have a portable charger.,True
ORD392203,ID0588197234,2019-12-15,Nickolson,"[('Thunder line', 2), ('iAssist Line', 2), ('Toshika 750', 1)]",13130,58.06,144.9739438,-37.8121007,10,11875.06,Summer,False,0.8197,phone didn't work from the get-go looked good when i received it. charged it and it immediately turned off when i disconected charger. verizon tech said it the battery was ok but phone was bad. why wouldn't they test it b4 they sent it out. wouldn't use seller again.,False
ORD089455,ID3215192047,2019-05-25,Thompson,"[('pearTV', 2), ('Thunder line', 2)]",16980,78.35,-37.8094828,144.94881750000005,25,12813.35,Autumn,True,0.387,"really great phone just wow!!!! i leave my house at 8 and arrive home around 7and 8 and i still have over 30% of battery. also, the phone is really good for the price and the camera is not bad at all. i will buy one of this for my mother for sure",True
ORD066446,ID0145235264,2019-15-08,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2)]",5900,65.86,-37.81623560000001,144.96004419999997,5,5670.86,Winter,False,0.8763,"great seller prompt shipment, great product, better condition than described.",True
ORD074170,ID0054404478,2019-09-10,Thompson,"[('Alcon 10', 2), ('pearTV', 2)]",30520,91.07,-37.8001078,144.9494538,5,29085.07,Spring,True,1.4144,bad didn't cover screen,False
ORD159650,ID1449431212,2019-01-08,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 1)]",3455,92.19,-37.813219,144.9738874,15,31975.46,Summer,True,0.7096,five stars excellent condition.,True
ORD275560,ID4884440910,2019-10-04,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Thunder line', 2)]",8980,68.71,-37.8001131,144.93530959999995,15,7701.71,Spring,False,1.7391,two stars no entiendo porque tardan tanto si no lo tienen pueden decirnos y lo podemos cambiar por otro,False
ORD105180,ID0561538897,2019-03-01,Bakers,"[('Universe Note', 2), ('pearTV', 1)]",13210,68.17,-37.7993718,145.0050504,10,10700.35,Autumn,False,1.4644,great seller good product never had issue with,True
ORD131748,ID5276517410,2019-12-11,Nickolson,"[('iStream', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",13420,58.58,-37.8152643,144.9777675,15,11465.58,Summer,False,0.8121,one star terrible battery,False
ORD208957,ID6245731092,2019-07-13,Nickolson,"[('iStream', 1), ('pearTV', 1)]",6460,65.85,144.9773545,-37.8107849,10,5879.85,Winter,False,1.1076,i really like this phone i really like this phone,True
ORD208213,ID3512300806,2019-10-04,Bakers,"[('iAssist Line', 2), ('Candle Inferno', 1)]",4880,82.1,-37.81741020000001,145.0091951,0,4962.1,Spring,False,1.4795,blue is not the new black so far i'm pleased with the phone functions i received a blue phone; not what i ordered.,True
ORD090831,ID1519470918,2019-02-13,Bakers,"[('Toshika 750', 2), ('pearTV', 2)]",21260,84.7,144.9932622,-37.7976237,25,16029.7,Summer,True,1.3881,one star phone was deemed fraudulent by verizon so stay the away from this phone.,False
ORD236588,ID6167254934,2019-10-31,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2), ('iStream', 1)]",5460,99.4,-37.8155291,144.97357580000005,15,4740.4,Spring,True,0.4917,speed best phone ihave ever had.,True
ORD247849,ID0227315895,2019-10-08,Bakers,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090,63.09,-37.80370429999999,144.9865844,25,1630.59,Spring,False,1.0339,two stars i return it not what i expected.,False
ORD277275,ID2700682445,2019-12-26,Nickolson,"[('Universe Note', 1), ('pearTV', 1)]",9760,58.85,-37.82411210000001,144.9771169,25,7378.85,spring,False,0.9054,waste of money this sucks always dieing probably gave me a used battery i hardly use it and it dies all the time waste of money,False
ORD062280,ID6167489480,2019-02-09,Nickolson,"[('Olivia x460', 1), ('pearTV', 2), ('Toshika 750', 1), ('iAssist Line', 1)]",20390,71.05,144.9617896,-37.8169902,15,17402.55,Summer,False,0.7055,five stars great phone,True
ORD457652,ID6167344571,2019-08-05,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Alcon 10', 2), ('iAssist Line', 1)]",28255,74.48,-37.8157792,144.9738209,25,21265.73,Winter,True,0.4891,five stars great,False
ORD093376,ID4716795584,2019-08-05,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2)]",22350,77.55,-37.8188479,144.9532874,25,16840.05,Winter,True,0.8783,good my wife loves it. she is not technically savey but it suits her purposes.,True
ORD157781,ID0441031308,2019-02-18,Thompson,"[('iStream', 2), ('Olivia x460', 2)]",3310,71.7,-37.814368,144.9382372,5,3216.2,Summer,False,0.7993,"love the phone love the phone, only complaint is lack of external speaker volume. can't hear directions if you use nav, and certainly can't listen to music. but the function and form are awesome otherwise.",True
ORD335917,ID6237638648,2019-12-08,Nickolson,"[('iAssist Line', 2), ('iStream', 1)]",4600,76.32,-37.81385510000001,144.9788642,5,4446.32,Summer,False,0.9742,"love it, love toshika, made for making videos it has great features and movie making abilities. its really long it seems, but really slick and really nice. i like it a lot! thanks!",True
ORD312565,ID0638050574,10-12-2019,Nickolson,"[('Olivia x460', 1), ('pearTV', 1), ('Alcon 10', 2)]",25435,69.54,-37.8183904,144.9662769,0,25504.54,Summer,False,0.2888,check battery capacity physical condition is great. my battery life is not great. it reads “78% capacity” on the first day of use. they claim they are all 80% or better.,True
ORD390068,ID0560984864,2019-02-24,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",11530,71.02,-37.8180118,144.9480948,5,20131.65,Summer,False,0.6011,grandkids each got one and they love it. step up from original candle.,True
ORD135183,ID0457775792,2019-11-22,Thompson,"[('pearTV', 2), ('Olivia x460', 2), ('Alcon 10', 1), ('Lucent 330S', 1)]",26200,79.85,-37.8241564,144.94936830000003,10,23659.85,Spring,False,1.2942,certainly a better phone i had a universe 9 and noticed a real improvement in software and image on this universe 10. probably the biggest jump between galaxies. this is my 5th.,True
ORD337660,ID0591408084,2019-05-05,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Universe Note', 1), ('Alcon 10', 1)]",19310,64.65,-37.82145560000001,144.9613468,25,14547.15,Autumn,True,0.7886,easily configured hub capabilities.  excellent sound quality for the size of the unit.,True
ORD398696,ID0250774441,2019-01-10,Bakers,"[('Thunder line', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",12490,99.41,-37.8144842,145.0092157,25,9466.91,Summer,False,1.3274,great love it. arrived in perfect condition.,True
ORD126612,ID4520380431,2019-06-05,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Candle Inferno', 1), ('Alcon 10', 1)]",17510,50.96,-37.8257249,144.9602395,10,15809.96,Winter,False,1.1403,get's auto locked! i got this phone and in a couple of months it has auto locked. the phone says at&t at startup and i tried to use at&t web to unlock it but the at&t got back saying it's not their device! i am not sure how to unlock this. looks like others have had similar problems. battery life etc. is terrible. just avoid this device if you can.,False
ORD155978,ID0452381032,2019-07-06,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1)]",9380,80.48,144.9494115,-37.82499050000001,5,8991.48,Winter,True,1.3865,five stars very good,True
ORD200689,ID0248746945,2019-10-05,Bakers,"[('Candle Inferno', 1), ('pearTV', 1)]",6740,106.13,-37.823082,144.99159469999995,15,5835.13,Spring,True,1.4914,did me right good job you got through with my issues without charging me . thanks again for your concerns over the issue,True
ORD181051,ID0709970691,2019-27-02,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Universe Note', 1)]",14210,76.95,-37.8154462,144.93564719999995,25,10734.45,Summer,False,1.0508,phone great job,True
ORD098805,ID0257503245,2019-11-08,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 1), ('Thunder line', 1), ('Alcon 10', 1)]",16010,110.43,-37.7997998,144.9616154,15,7850.39,Spring,True,1.921,outstanding replacement tablet for my outdated and overpriced ipad 2,True
ORD476914,ID6200183406,2019-08-20,Thompson,"[('Toshika 750', 2), ('iAssist Line', 2), ('pearTV', 2), ('Universe Note', 2)]",32610,64.86,-37.8205187,144.9511189,25,24522.36,Winter,False,0.9432,my metro pc's sim card earned on slot number 2 best phone for that money!,True
ORD070708,ID6167413277,2019-07-08,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 2), ('pearTV', 1), ('iStream', 2)]",13390,63.04,-37.8157757,144.95830149999995,10,12114.04,Winter,True,1.0378,trash the mic on my doesent work.,False
ORD046408,ID5402876538,03-09-2019,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('Toshika 750', 2), ('pearTV', 1)]",17040,75.78,-37.8210595,144.97708500000005,15,14559.78,Spring,False,0.7171,my husband likes being able to use it to listen to music.  i wish we knew all it's capabilities,True
ORD237879,ID4884440910,2019-04-28,Nickolson,"[('Candle Inferno', 2), ('Alcon 10', 1)]",9810,55.29,-37.8001131,144.93530959999995,15,8393.79,Autumn,False,1.7391,bad esn i purchased this phone and had to return it because it had a bad esn number and couldn't be used! i wasn't happy at all. shipping and returns were easy at least,False
ORD015334,ID6167289322,2019-09-10,Nickolson,"[('Thunder line', 2), ('Lucent 330S', 1), ('pearTV', 2)]",18210,79.04,-37.8079843,144.96887230000004,10,16468.04,Spring,False,1.1827,does what a note 5 does few more scratches than i anticipated but overall great replacement for my phone at a great cost.,True
ORD020055,ID0250774471,2019-12-04,Bakers,"[('Olivia x460', 1), ('Thunder line', 1)]",3405,99.68,-37.8173474,145.008734,10,3164.18,Summer,True,0.6764,looks great i bought as a gift to my brother. so far he loves the color and the fingerprint feature. thr battery still testing it. so far so goos.,True
ORD374660,ID0598399386,2019-05-25,Nickolson,"[('Candle Inferno', 1), ('pearTV', 1)]",6740,80.15,-37.814074100000006,144.96542019999995,25,5135.15,Autumn,True,0.6207,great phone i love it,True
ORD493957,ID0361227457,2019-02-18,Bakers,"[('Alcon 10', 2), ('iStream', 2), ('pearTV', 2)]",30820,102.97,144.9768985,-37.8011823,0,30922.97,Summer,True,1.8875,"excellent phone this phone arrived in beautiful condition. i took it to the sprint store, they installed the sim card and it works awesome. i think that i am going to love this phone.",True
ORD232419,ID6167417935,2019-12-30,Nickolson,"[('iStream', 1), ('Universe Note', 2), ('iAssist Line', 1), ('pearTV', 1)]",15585,93.71,-37.8148987,144.9604959,0,15678.71,Summer,False,0.8963,i'm very happy with this purchase great,True
ORD013805,ID0579982672,2019-01-29,Thompson,"[('Olivia x460', 1), ('Universe Note', 1)]",4675,91.63,-37.8079244,144.942819,0,4766.63,Summer,False,0.6474,five stars xperia z3+ is the best,True
ORD108147,ID3167693144,2019-04-11,Thompson,"[('Universe Note', 2), ('pearTV', 2)]",7760,66.22,-37.80121610000001,144.9629847,5,7438.22,Autumn,True,1.8937,"not pear it’s not a pear product, it’s a clone and at that price schould be pear product i’m. returning this",False
ORD097415,ID0052600156,2019-02-25,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 1), ('Alcon 10', 2), ('Lucent 330S', 1)]",13485,67.99,-37.7998614,144.9588099,10,19876.99,Summer,False,1.7608,"malisiiiimo el celular es malisimo... llevo 4meses con el y no ha recibido ningún golpe y el táctil se daño, no tiene arreglo y lo único q me dicen es q es un defecto q tiene este modelo de toshika xperia",False
ORD123382,ID6167344361,2019-01-06,Nickolson,"[('Toshika 750', 1), ('pearTV', 2), ('Universe Note', 1)]",20390,68.45,-37.8157898,144.9693159,0,20458.45,autumn,False,0.313,not bad at least it works.,True
ORD483341,ID6200184389,2019-08-21,Thompson,"[('iStream', 1), ('iAssist Line', 1), ('pearTV', 1), ('Lucent 330S', 2)]",11145,77.77,-37.8201555,144.9521178,10,10108.27,Winter,True,0.7995,"love it, very easy to set up.love that you can request just about anything on your mind and it works on giving you useful information.",True
ORD020405,ID1668523263,2019-01-11,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2), ('Toshika 750', 2), ('pearTV', 1)]",20625,70.48,-37.820871,144.9615315,0,20695.48,Summer,False,0.7493,excelent product!!! excelent... so happy for my selection!!!!,True
ORD333779,ID0289602878,2019-05-11,Thompson,"[('iAssist Line', 2), ('Olivia x460', 1)]",5675,61.84,-37.811453,144.9489719,5,5453.09,Autumn,True,0.2155,the best smart phone the best smart phone,True
ORD292260,ID0443530293,2019-05-19,Bakers,"[('Lucent 330S', 2), ('Toshika 750', 2), ('iStream', 1), ('Alcon 10', 2)]",33590,64.96,-37.8154393,145.0045007,5,31975.46,Autumn,False,1.0157,i brought it for my grandmother and she really loves it.,True
ORD219265,ID0055722470,2019-28-08,Thompson,"[('iStream', 1), ('Thunder line', 1), ('iAssist Line', 2)]",6780,66.97,-37.8077044,144.9580335,0,6846.97,Winter,False,1.1117,"xp is back very fast, nice looking and performance, like old xp's",True
ORD403640,ID3281123501,2019-11-23,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 1), ('Universe Note', 2)]",11585,63.82,-37.80473189999999,144.9576634,10,10490.32,Spring,True,1.2844,one star had a bad imei could not use it,False
ORD353012,ID0781083679,2019-07-30,Bakers,"[('pearTV', 1), ('Thunder line', 2), ('Olivia x460', 2), ('Lucent 330S', 1)]",14350,86.57,-37.8226366,145.01407450000005,10,13001.57,Winter,True,2.1738,five stars i love this phone. looks new,True
ORD174916,ID0576868765,2019-04-03,Bakers,"[('Thunder line', 1), ('iAssist Line', 1)]",4405,68.2,-37.8238216,144.9902251,10,4032.7,Autumn,False,1.6008,great buy for anyone renewed alcon x works really well just had to get used to the changes,True
ORD423616,ID4893634418,2019-07-29,Thompson,"[('Thunder line', 1), ('Alcon 10', 1), ('iAssist Line', 1), ('iStream', 1)]",13505,72.39,-37.8104326,144.9242474,25,10201.14,Winter,True,2.0225,great camera... very slippery buy a case!!!,True
ORD205988,ID0310944925,2019-02-18,Bakers,"[('Thunder line', 2), ('Alcon 10', 2), ('Candle Inferno', 2), ('Toshika 750', 2)]",31760,95.62,-37.8039021,145.00396819999997,10,28679.62,Summer,False,1.025,i love it the best smart phone i've ever had. i love it.,True
ORD494047,ID0581704636,2019-02-06,Thompson,"[('iAssist Line', 1), ('Alcon 10', 1)]",11175,97.54,-37.8169399,144.9315539,5,10713.79,Summer,True,1.4447,so far so good so far my daughter likes it. no problems so far.,True
ORD274035,ID2383211228,2019-03-24,Nickolson,"[('iStream', 1), ('Thunder line', 1), ('Lucent 330S', 2), ('Olivia x460', 2)]",7240,77.26,-37.815448,144.96657030000003,0,7317.26,Autumn,True,0.4375,"as described just as described, like new. no issue",True
ORD064692,ID1879180932,2019-08-19,Thompson,"[('Thunder line', 2), ('iAssist Line', 1)]",6585,70.72,-37.800297,144.9601679,10,5997.22,Winter,False,1.7959,"it is great so far as a used phone, it is great so far. just had it for three weeks. every thing is working and no scratches on the lenses. at this time would recommend this supplier to others.",True
ORD106152,ID0575386108,2019-09-08,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 1)]",13400,105.83,-37.8205224,144.98286869999995,25,10155.83,Spring,True,0.7663,four stars its a great phone but it is not bootloader unlockable,True
ORD286146,ID1492169258,2019-06-18,Thompson,"[('Toshika 750', 1), ('Universe Note', 2)]",7330,84.65,-37.80108320000001,144.96378130000005,0,7414.65,Winter,True,1.9558,i love it best unlocked phone,True
ORD341794,ID0591358991,2019-03-26,Thompson,"[('Candle Inferno', 1), ('iAssist Line', 2)]",4880,51.54,-37.82257050000001,144.9526419,25,3711.54,Autumn,False,1.2058,price range huge! all of the other reviews saying the 64 gb and the 256 gb are the same price are fake the 64 gb is $660 while the 256 gb is $790.,False
ORD014442,ID0711333462,2019-01-17,thompson,"[('iStream', 2), ('iAssist Line', 1), ('Olivia x460', 1)]",3750,75.55,-37.8065317,144.9571102,25,2888.05,Summer,False,1.1168,five stars works great,True
ORD052629,ID0248746980,2019-08-26,nickolson,"[('Thunder line', 2), ('iAssist Line', 2), ('Lucent 330S', 2), ('Olivia x460', 1)]",12495,79.6,-37.821635,144.99863169999998,15,10700.35,Winter,True,1.3297,five stars great job olivia,True
ORD166717,ID4716795649,2019-10-12,thompson,"[('Lucent 330S', 1), ('Candle Inferno', 2), ('iStream', 1)]",2240,75.4,-37.8187896,144.9532997,15,1979.4,Spring,False,0.874,great phone for the bucks! huge improvement from my previous phone. i know it's not the newest thing but i think it's great.,True
ORD461915,ID0579500978,2019-12-30,nickolson,"[('Lucent 330S', 2), ('Thunder line', 1), ('iAssist Line', 1), ('pearTV', 1)]",13175,67.06,-37.8140197,144.9491925,5,12583.31,Summer,False,0.2395,"universe s7,wow! a very beautiful phone!",True
ORD068755,ID3961293512,2019-04-05,Nickolson,"[('Thunder line', 2), ('Lucent 330S', 1), ('iStream', 1)]",5740,82.05,-37.831769,144.9648658,15,4961.05,Autumn,False,1.5233,"great cell phone !! great phone very stylish and it wont blow up :) parameters are good, great camera, as for ppl that like the idea with fingerprint, there is a way to enable it, just goole it :)",True
ORD069936,ID1985557960,2019-09-01,Thompson,"[('Universe Note', 2), ('pearTV', 2)]",19520,104.5,-37.8070101,144.9657635,15,16696.5,Spring,True,1.3319,excellent product 100% functional,True
ORD342327,ID2187770700,2019-12-03,Nickolson,"[('Lucent 330S', 2), ('Universe Note', 1), ('Alcon 10', 2)]",23810,75.74,-37.8115055,144.964713,10,21504.74,Summer,False,0.8966,ready to go as promised phone was ready to go. only slight damage to case but the price was good and the value is there,True
ORD149902,ID0598399379,2019-05-29,Nickolson,"[('iStream', 1), ('pearTV', 1), ('Thunder line', 2)]",10820,78.89,-37.8137935,144.9652217,10,9816.89,Autumn,True,0.6562,five stars does a great job,True
ORD201763,ID0575384839,2019-02-26,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Candle Inferno', 2), ('Universe Note', 1)]",9860,97.61,-37.8192935,144.9820908,15,8478.61,Summer,True,1.1054,five stars love the big screen.,True
ORD066764,ID1463656455,2019-09-18,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Lucent 330S', 2)]",6865,102.28,-37.81860560000001,144.9991443,5,6624.03,Spring,True,1.0183,good phone. i love this phone. toshika is doing a great job. just to be tweaking the next model to have a faster ship and a higher roslution.,False
ORD371831,ID0387153042,2019-09-11,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",9905,106.17,-37.80157379999999,144.9483325,25,16666.9,Spring,True,1.2405,awesome phone and awesome price awesome phone !!! although it’s a lite version the phone is amazing super nice pictures and easy to use. better than an alcon and olivia and cheaper price,True
ORD467198,ID0371973419,2019-07-05,Nickolson,"[('Alcon 10', 2), ('Candle Inferno', 1), ('Thunder line', 2)]",22690,78.92,-37.8052643,144.9695957,0,22768.92,Winter,True,1.4839,"excellent phone excellent phone, excellent camera. i only wish i could set google launcher, and gboard, it lags a bit with large amounts of tabs in chrome, but most people wont have this issue, i'm talking about over 50 - 60 open tabs. this is overall a great phone, i'm really happy i got it.",True
ORD034762,ID0723969549,2019-04-17,Bakers,"[('pearTV', 1), ('iStream', 1)]",6460,65.76,-37.8054576,145.0004183,5,6202.76,Autumn,False,0.6807,"best phone. great cellphone if you work with vodeos. pawerfull to do evrithing. making videos, converting, work with documents etc. small laptop with you in your packet.",True
ORD295649,ID0030947458,2019-03-18,Nickolson,"[('Universe Note', 1), ('Thunder line', 2)]",7810,83.18,-37.803268,144.9651635,15,6721.68,Autumn,True,1.7492,"perfect delivered quickly, had no issues activating, and great condition. pretty sweet deal for the price.",True
ORD158273,ID3215192003,2019-08-22,Thompson,"[('Olivia x460', 1), ('Thunder line', 2), ('Alcon 10', 1), ('iAssist Line', 2)]",18985,77.36,-37.8062781,144.9488733,15,16214.61,Winter,True,0.7294,htc was great but not with my cars bluetooth i came from a htc one m8. htc was great but not with my cars bluetooth. people on the other end always said i was breaking up when they heard me. this s6 does everything and does it super fast. great camera. this phone is awesome!,True
